item_code,item_description,product_description,supplier_reference,item_quantity,item_value,sales_order,sales_order_line,po_line,size,quantity,uom,price,price_per,ship_mode,source_page
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667234,10,100,XL,467.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667234,10,100,XS,261.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667234,10,100,XXL,252.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667260,10,90,L,800.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667260,10,90,M,987.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667260,10,90,S,663.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667260,10,90,XL,466.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667260,10,90,XS,260.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667260,10,90,XXL,251.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667399,10,120,L,404.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667399,10,120,M,"1,287.000",PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667399,10,120,S,718.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667399,10,120,XL,428.000,PC,31.11,1000,Truck,3
2001437812,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEB,"10,743.000",334.25,1001667399,10,120,XS,229.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667108,10,70,L,126.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667108,10,70,M,312.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667108,10,70,S,235.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667108,10,70,XL,57.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667108,10,70,XS,89.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667234,10,60,L,800.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667234,10,60,M,988.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667234,10,60,S,663.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667234,10,60,XL,467.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667234,10,60,XS,261.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667234,10,60,XXL,252.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667260,10,50,L,800.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667260,10,50,M,987.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667260,10,50,S,663.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667260,10,50,XL,466.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667260,10,50,XS,260.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667260,10,50,XXL,251.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667399,10,80,L,404.000,PC,31.11,1000,Truck,4
